Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
------------ ----- ----- ----- -----,-----,-----,,----- -----,,-----,-----,-----,-----,----- ------,-----,---,---,---,------
LAW-7500S-6010,3,3,5,7,1,0,0,,0,0,0,0,0,19,3.333,0,0,0,19
DENNIE C 0.00% 15.79% 15.79% 26.32% 36.84%,,,,,5.26%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00% 15.79% 15.79% 26.32% 36.84%,,,,,5.26%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7540-601   2,3,2,3,7,1,2,0,,1,0,0,0,0,21,3.207,0,0,1,22
COURSE TOTAL :2,3,2 3,7,,1,2,,0,1,0,0,0,0,21,3.207,0,0,1,22
9.52% 14.29%,,9.52% 14.29% 33.33%,,,4.76%,9.52%,,0.00%,4.76%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7552-601   0,3,0  14,5,,0,4,,0,0,0,0,0,0,26,3.190,0,0,0,26
SNYDER F 0.00% 11.54%,,0.00% 53.85% 19.23%,,,0.00% 15.38%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,3,0 14,5,,0,4,,0,0,0,0,0,0,26,3.190,0,0,0,26
0.00% 11.54%,,0.00% 53.85% 19.23%,,,0.00% 15.38%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7615-601   0,2,4   2,4,,2,0,,0,0,0,0,0,0,14,3.334,0,0,0,14
GARCIA D 0.00% 14.29% 28.57% 14.29% 28.57% 14.29%,,,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,2,4 2,4,,2,0,,0,0,0,0,0,0,14,3.334,0,0,0,14
0.00% 14.29% 28.57% 14.29% 28.57% 14.29%,,,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7666-601   1,2,3   3,1,,2,0,,0,0,0,0,1,0,13,3.232,0,0,0,13
AYRES P 7.69% 15.38% 23.08% 23.08%,,,7.69% 15.38%,,,0.00%,,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,,,,,,
COURSE TOTAL :1,2,3 3,1,,2,0,,0,0,0,0,1,0,13,3.232,0,0,0,13
7.69% 15.38% 23.08% 23.08%,,,7.69% 15.38%,,,0.00%,,0.00%,0.00%,0.00%,0.00%,7.69%,0.00%,,,,,,
LAW-7780-601   0,0,2   8,7,,2,0,,0,0,0,0,0,0,19,3.174,0,0,0,19
SILVAS T 0.00%,0.00% 10.53% 42.11% 36.84% 10.53%,,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00%,0.00% 10.53% 42.11% 36.84% 10.53%,,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7785-601   2,1,6   6,2,,4,0,,0,0,0,0,0,0,21,3.366,0,0,0,21
SPENCE J 9.52%,4.76% 28.57% 28.57%,,9.52% 19.05%,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :2,1,6 6,2,,4,0,,0,0,0,0,0,0,21,3.366,0,0,0,21
9.52%,4.76% 28.57% 28.57%,,9.52% 19.05%,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7787-601   0,6,2   4,1,,2,3,,0,0,0,0,0,0,18,3.332,0,0,0,18
COURSE TOTAL :0,6,2,4,1,2,3,,0,0,0,0,0,0,18,3.332,0,0,0,18
